UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Mar22 ?        00:00:30 /sbin/init
root         2     0  0 Mar22 ?        00:00:00 [kthreadd]
root         3     2  0 Mar22 ?        00:00:32 [migration/0]
root         4     2  0 Mar22 ?        00:05:42 [ksoftirqd/0]
root         5     2  0 Mar22 ?        00:00:00 [migration/0]
root         6     2  0 Mar22 ?        00:00:05 [watchdog/0]
root         7     2  0 Mar22 ?        00:00:28 [migration/1]
root         8     2  0 Mar22 ?        00:00:00 [migration/1]
root         9     2  0 Mar22 ?        00:01:07 [ksoftirqd/1]
root        10     2  0 Mar22 ?        00:00:04 [watchdog/1]
root        11     2  0 Mar22 ?        00:00:24 [migration/2]
root        12     2  0 Mar22 ?        00:00:00 [migration/2]
root        13     2  0 Mar22 ?        00:02:23 [ksoftirqd/2]
root        14     2  0 Mar22 ?        00:00:04 [watchdog/2]
root        15     2  0 Mar22 ?        00:00:15 [migration/3]
root        16     2  0 Mar22 ?        00:00:00 [migration/3]
root        17     2  0 Mar22 ?        00:01:50 [ksoftirqd/3]
root        18     2  0 Mar22 ?        00:00:04 [watchdog/3]
root        19     2  0 Mar22 ?        00:04:06 [events/0]
root        20     2  0 Mar22 ?        00:03:58 [events/1]
root        21     2  0 Mar22 ?        00:02:45 [events/2]
root        22     2  0 Mar22 ?        00:03:14 [events/3]
root        23     2  0 Mar22 ?        00:00:00 [cgroup]
root        24     2  0 Mar22 ?        00:00:00 [khelper]
root        25     2  0 Mar22 ?        00:00:00 [netns]
root        26     2  0 Mar22 ?        00:00:00 [async/mgr]
root        27     2  0 Mar22 ?        00:00:00 [pm]
root        28     2  0 Mar22 ?        00:00:15 [sync_supers]
root        29     2  0 Mar22 ?        00:00:19 [bdi-default]
root        30     2  0 Mar22 ?        00:00:00 [kintegrityd/0]
root        31     2  0 Mar22 ?        00:00:00 [kintegrityd/1]
root        32     2  0 Mar22 ?        00:00:00 [kintegrityd/2]
root        33     2  0 Mar22 ?        00:00:00 [kintegrityd/3]
root        34     2  0 Mar22 ?        00:00:06 [kblockd/0]
root        35     2  0 Mar22 ?        00:00:59 [kblockd/1]
root        36     2  0 Mar22 ?        00:00:18 [kblockd/2]
root        37     2  0 Mar22 ?        00:00:00 [kblockd/3]
root        38     2  0 Mar22 ?        00:00:00 [kacpid]
root        39     2  0 Mar22 ?        00:00:00 [kacpi_notify]
root        40     2  0 Mar22 ?        00:00:00 [kacpi_hotplug]
root        41     2  0 Mar22 ?        00:00:00 [ata_aux]
root        42     2  0 Mar22 ?        00:00:00 [ata_sff/0]
root        43     2  0 Mar22 ?        00:00:00 [ata_sff/1]
root        44     2  0 Mar22 ?        00:00:00 [ata_sff/2]
root        45     2  0 Mar22 ?        00:00:00 [ata_sff/3]
root        46     2  0 Mar22 ?        00:00:00 [ksuspend_usbd]
root        47     2  0 Mar22 ?        00:00:00 [khubd]
root        48     2  0 Mar22 ?        00:00:00 [kseriod]
root        49     2  0 Mar22 ?        00:00:00 [md/0]
root        50     2  0 Mar22 ?        00:00:00 [md/1]
root        51     2  0 Mar22 ?        00:00:00 [md/2]
root        52     2  0 Mar22 ?        00:00:00 [md/3]
root        53     2  0 Mar22 ?        00:00:00 [md_misc/0]
root        54     2  0 Mar22 ?        00:00:00 [md_misc/1]
root        55     2  0 Mar22 ?        00:00:00 [md_misc/2]
root        56     2  0 Mar22 ?        00:00:00 [md_misc/3]
root        57     2  0 Mar22 ?        00:00:00 [linkwatch]
root        58     2  0 Mar22 ?        00:00:02 [khungtaskd]
root        59     2  0 Mar22 ?        00:00:04 [kswapd0]
root        60     2  0 Mar22 ?        00:00:00 [ksmd]
root        61     2  0 Mar22 ?        00:00:16 [khugepaged]
root        62     2  0 Mar22 ?        00:00:00 [aio/0]
root        63     2  0 Mar22 ?        00:00:00 [aio/1]
